id,type,value,date,notes,imageType
276,expense,135,01/09/23,Hotel,none
277,expense,1217.04,01/09/23,Hotel,none
278,expense,117.55,01/10/23,Trump Pump / Discharge Hose / Suction Hose,none
279,expense,97.16,01/01/23,Gas,none
280,expense,21.83,01/09/23,Gas,none
281,expense,677.54,01/09/23,Hotel,none
282,expense,200,01/01/23,Mechanic Leesburg,none
283,expense,100,01/10/23,Gas,none
284,expense,435.38,01/11/23,Extension Ladder / Bungee / Ratchet Strap,none
285,expense,81.28,01/05/23,Power Cutter,none
286,expense,6,01/11/23,Water,none
287,expense,33.96,01/11/23,All Purpose,none
289,expense,7.77,01/12/23,Gas,none
290,expense,100,01/12/23,Gas,none
291,expense,145.49,01/13/23,Tire Installation,none
292,expense,255.03,01/05/23,Sod Pallet,none
293,expense,120,01/05/23,Gas,none
294,expense,26.86,01/04/23,Gas,none
295,expense,8.99,01/05/23,Ice & Water,none
296,expense,117.7,01/06/23,Bulk Limestone,none
297,expense,120,01/05/23,Gas,none
523,deposit,200,01/16/23,Deposit,none
524,deposit,300,01/06/23,Deposit,none
525,deposit,500,01/06/23,Deposit,none
298,expense,77.53,01/24/23,Concrete Saw,none
299,expense,1112.28,01/23/23,Hotel,none
300,expense,25.67,01/24/23,Garden Sprayer,none
301,expense,80.22,01/24/23,Shovel & Fiberglass,none
302,expense,20,01/01/23,Gas,none
303,expense,27.79,01/19/23,Bolts & Catalyst,none
304,expense,85.6,01/21/23,Gas,none
305,expense,100.97,01/23/23,Gas,none
306,expense,120,01/01/23,Gas,none
307,expense,77.53,01/24/23,Gas,none
308,expense,117.55,01/23/23,Trump Pump / Discharge Hose / Suction Hose,none
309,expense,129.65,01/25/23,Blue Tarp & Blacktop,none
310,expense,38.48,01/25/23,Tarp,none
311,expense,117.7,01/26/23,Bulk Limestone,none
312,expense,50,01/01/23,Oil Change,none
313,expense,32.37,01/27/23,Gas,none
314,expense,100,01/31/23,Gas,none
315,expense,100,01/31/23,Gas,none
316,expense,206.62,01/31/23,Motel,none
317,expense,434.89,02/01/23,Hotel,none
318,expense,434.89,02/01/23,Hotel,none
319,expense,11.48,02/01/23,Water & Ice,none
320,expense,92.7,02/02/23,Gas,none
321,expense,85.47,02/03/23,Gas,none
322,expense,65.85,02/03/23,Gas,none
323,expense,765.09,02/03/23,Forestry Resources,none
324,expense,121.95,02/08/23,Sod,none
325,expense,11.48,02/07/23,Water & Ice,none
326,expense,100,02/07/23,Gas,none
327,expense,70.62,02/07/23,Bolts,none
328,expense,21.39,02/07/23,Rake,none
329,expense,41.31,02/07/23,Bolts,none
330,expense,380,01/01/23,Helper Tadeu Restoration,none
331,expense,254.2,02/08/23,Sod,none
332,expense,80.19,02/08/23,Wood Handle & Measuring Wheel,none
333,expense,244.81,02/07/23,Hotel,none
334,expense,158.94,02/06/23,Hotel,none
335,expense,155.67,01/01/23,Hotel,none
336,expense,704.1,02/07/23,Sod,none
337,expense,100,02/09/23,Gas,none
338,expense,100,02/09/23,Gas,none
339,expense,1217.04,01/09/23,Hotel,none
340,expense,949.57,01/17/23,Hotel,none
341,expense,20.2,01/17/23,Gas,none
342,expense,99.64,01/17/23,Gas,none
343,expense,160,01/16/23,Gas,none
344,expense,42.73,01/01/23,Tarp,none
345,expense,12.04,01/17/23,Gas,none
346,expense,117.7,01/18/23,Bulk Limestone,none
347,expense,91.29,01/16/23,Hotel,none
348,expense,65.26,01/16/23,Gas,none
349,expense,100,01/16/23,Gas,none
350,expense,27.79,01/19/23,Bolts,none
527,deposit,2000,02/07/23,Deposit,none
528,deposit,2000,02/02/23,Deposit,none
529,deposit,500,01/11/23,Deposit,none
530,deposit,500,01/12/23,Deposit,none
531,deposit,1500,01/09/23,Deposit,none
532,deposit,500,01/18/23,Deposit,none
533,deposit,200,01/18/23,Deposit,none
534,deposit,300,01/16/23,Deposit,none
535,deposit,1500,01/23/23,Deposit,none
536,deposit,1000,02/13/23,Deposit,none
537,deposit,1000,02/20/23,Deposit,none
351,expense,221.35,02/22/23,PVC Pipe & Paint & Bags,none
352,expense,313.94,02/22/23,Drill & Impact Driving Kit,none
353,expense,120,02/21/23,Gas,none
354,expense,147.03,02/21/23,Strap & Gas,none
355,expense,55.87,02/20/23,Lightning Cable & Pin Clips,none
356,expense,120,02/22/23,Gas,none
357,expense,99.87,02/13/23,Gas,none
358,expense,142.55,02/13/23,Gas,none
359,expense,51.2,02/20/23,Blade Fuses & Bulbs,none
360,expense,100,02/20/23,Gas,none
361,expense,132.25,02/13/23,Sod,none
362,expense,120,02/14/23,Gas,none
363,expense,61.5,02/14/23,Weathershield & Ratchet Strap,none
364,expense,72.29,02/20/23,Performance Tools & Electrical Tape,none
365,expense,83.2,02/20/23,Gas,none
366,expense,98.17,02/16/23,Gas,none
367,expense,135.85,02/22/23,Trailer World,none
368,expense,137,02/20/23,Hotel,none
369,expense,143,02/13/23,Hotel,none
370,expense,87.72,02/23/23,Tester Pc & Hydraulic Fluid,none
371,expense,106.68,02/23/23,Blue Tarps,none
372,expense,174.32,02/23/23,Tall Fescue Mix Bags,none
373,expense,72.7,02/23/23,Gas,none
374,expense,39.54,02/23/23,Gas,none
375,expense,37.79,02/23/23,Wheat Straw Bale,none
538,deposit,1100,02/21/23,Deposit,none
539,deposit,1000,02/22/23,Deposit,none
540,deposit,1000,02/24/23,Deposit,none
376,expense,50,02/23/23,Gas,none
377,expense,100,02/28/23,Water Locator Bribe,none
378,expense,243.5,01/01/23,Drain Spade,none
379,expense,70.87,02/24/23,Booster CBL,none
380,expense,40,02/25/23,Gas,none
381,expense,50,02/27/23,Gas,none
382,expense,47.27,02/27/23,Gas,none
383,expense,40.14,02/26/23,Gas,none
384,expense,50.96,03/01/23,Gas,none
385,expense,35.04,03/01/23,Gas,none
386,expense,41.44,02/25/23,Gas,none
387,expense,240.13,02/28/23,Safety Vests / Steel Tamper / Knife,none
388,expense,50.71,02/27/23,Gas,none
389,expense,159.63,03/01/23,Triball & Hitch Pin,none
390,expense,92.61,03/04/23,Fish Tape ,none
391,expense,277.86,03/02/23,PVC Cutter / Wrench Socket / White Paint / PVC Pipe,none
392,expense,160.5,03/02/23,Flight,none
393,expense,360,01/01/23,Dado Helper Orlando,none
394,expense,149,03/10/23,Flight,none
395,expense,307.45,03/09/23,Missile Whip,none
396,expense,60.85,03/10/23,Gas,none
397,expense,31.56,03/10/23,Heavy Duty Greaser & Wire Rope,none
398,expense,68.97,03/10/23,Gas,none
399,expense,142.55,03/08/23,Sod,none
400,expense,100.52,03/07/23,Gas,none
401,expense,8.19,03/08/23,Ice Bag,none
402,expense,190.4,03/08/23,Turf Builder,none
403,expense,23.77,03/08/23,Gas,none
404,expense,208.68,03/08/23,Sod,none
405,expense,47.93,03/07/23,Gas,none
406,expense,36.54,03/09/23,Gas,none
407,expense,100,03/08/23,Gas,none
408,expense,366.28,03/11/23,Broom / Triball / Pintle ,none
409,expense,190.09,03/09/23,Oil Change,none
410,expense,75,03/11/23,Pump Fee,none
411,expense,44.36,03/11/23,Gas,none
412,expense,25.97,03/12/23,Hitch Lock,none
413,expense,70.99,03/10/23,Uber,none
414,expense,198.83,03/13/23,Ditch Witch,none
415,expense,53,03/13/23,Trailer Repair,none
416,expense,34.53,03/13/23,Gas,none
417,expense,123.36,03/13/23,Battery,none
418,expense,130.24,03/14/23,Gas,none
541,deposit,1500,03/13/23,Deposit,none
542,deposit,2500,03/09/23,Deposit,none
419,expense,662.68,03/28/23,Safelit Autoglass,none
420,expense,77.51,03/15/23,Gas,none
421,expense,257.48,03/21/23,Steel Fish Tape & Knife,none
422,expense,93.63,03/23/23,Gas,none
423,expense,79.4,03/18/23,Gas,none
424,expense,70.75,03/19/23,Gas,none
425,expense,45.66,03/23/23,Multimeter,none
426,expense,142.15,03/18/23,Triple Act Seed,none
427,expense,65.99,03/22/23,Gas,none
428,expense,61.29,03/28/23,Antifreeze & Galturbods,none
429,expense,5.95,03/29/23,Downy,none
430,expense,136.85,03/30/23,Rock & Sod,none
431,expense,246.25,03/23/23,Pulling Grip – Ditch Witch,none
432,expense,131.72,04/03/23,Contractors Bags /  Mulch,none
433,expense,63.87,04/03/23,Gas,none
434,expense,98.52,04/04/23,Gas,none
435,expense,71.2,04/04/23,Gas,none
436,expense,74.17,04/06/23,Torch Kit,none
437,expense,20,04/06/23,Gas,none
438,expense,75,04/07/23,Dump Fee,none
439,expense,61.03,04/07/23,Gas,none
440,expense,20,04/07/23,Gas,none
441,expense,33.34,04/07/23,Gas,none
442,expense,305.63,04/06/23,Safelit AutoGlass,none
443,expense,68.73,04/07/23,Gas,none
444,expense,151.48,04/10/23,Straw Bale & Grass Seed,none
445,expense,70,04/11/23,Gas,none
446,expense,33.51,04/11/23,Gas,none
447,expense,400,01/01/23,Jose Mendoza,none
543,deposit,2000,03/15/23,Deposit,none
544,deposit,1000,04/01/23,Deposit,none
545,deposit,1000,04/01/23,Deposit,none
448,expense,1000,03/01/23,Paid Dan,none
449,expense,1000,03/01/23,Cleanup,none
450,expense,1000,04/01/23,Paid Dan,none
451,expense,860,04/01/23,Cleanup,none
452,expense,1000,03/15/23,Paid Dan,none
546,deposit,2000,04/12/23,Deposit,none
547,deposit,1500,03/07/23,Deposit,none
548, expense,94.9, 04/14/23, hacksaw blades and seeding,jpeg
549, expense,8.38, 04/14/23, water,jpeg
550, expense,69.83, 04/14/23, gas,jpeg
551, expense,39.99, 04/13/23, gas,jpeg
552, expense,20.73, 04/13/23, ice,jpeg
553, expense,20, 04/13/23, gas,jpeg
554, expense,34.45, 04/13/23, heater hose and pump,jpeg
555, expense,22.11, 04/12/23, ratchet and 6pt skt 15mm,jpeg
556, expense,151.48, 04/10/23, grass seed and straw,jpeg
557, expense,70, 04/11/23, gas,jpeg
558, expense,33.51, 04/11/23, water,jpeg
559, expense,536.73, 04/12/23, 10pr tire x2,jpeg
560, expense,18.32, 04/12/23, straw bale,jpeg
561, expense,6.44, 04/12/23, top soil,jpeg
562, expense,102.13, 04/13/23, gas,jpeg
563, expense,32, 04/11/23, top soil,jpeg
564, expense,133.12, 04/14/23, limestone and straw,jpeg
565, expense,58.39, 04/13/23, limestone,jpeg
566, expense,565.4, 04/06/23, mechanic vin 5TFRY5F19EX163368,jpeg
567, deposit,1500, 04/15/23, deposit,none
568, deposit,2000, 04/18/23, expenses Arcadia,none
569, deposit,2000, 04/26/23, expenses,none
570, deposit,1600, 04/26/23, deposit,none
571, deposit,1500, 05/26/23, expenses missouri,none
572, deposit,1500, 05/01/23, deposit,none
573, expense,20, 04/15/23, Gas,jpg
574, expense,75.46, 05/15/23, Straw and sod seed ,jpg
575, expense,2000, 04/24/23, Dan pay ,jpg
576, expense,16.99, 04/28/23, Fix tire ,jpg
577, expense,43.07, 04/28/23, Anti freeze ,jpg
578, expense,81.97, 04/29/23, Gas ,jpg
579, expense,80.66, 04/28/23, Gas ,jpg
580, expense,323.31, 04/27/23, Hose Missil crew MO ,jpg
581, expense,145.56, 04/26/23, Sod seed and gravel ,jpg
582, expense,125, 04/17/23, gas,jpg
583, expense,54.27, 04/15/23, gas,jpg
584, expense,331.5, 04/20/23, hotel,jpg
585, expense,147.32, 04/23/23, home depot misc,jpg
586, expense,48.75, 04/24/23, gas,jpg
587, expense,39.42, 04/17/23, gas,jpg
588, expense,69.81, 04/26/23, gas,jpg
589, expense,251.47, 04/17/23, brace shovel and tamper bar,jpg
590, expense,17.13, 04/26/23, gas,jpg
591, expense,44.95, 04/19/23, gas,jpg
592, expense,60, 04/21/23, gas,jpg
593, expense,85.76, 04/30/23, gas,jpg
594, expense,150.49, 04/20/23, 25lb bermuda,jpg
595, expense,32.21, 04/17/23, gas,jpg
596, expense,61.14, 04/18/23, trash bags and tarp,jpg
597, expense,45.69, 04/21/23, Bermuda hay,jpg
598, expense,66.29, 04/24/23, gas,jpg
599, expense,70.11, 04/26/23, gas,jpg
600, expense,897.96, 04/17/23, Car rental ,jpeg
601, expense,37.28, 04/18/23, hotsy pressure systems,jpg
602, expense,199.4, 04/18/23, bob Dean supply hose coupler and clamp,jpg
603, expense,100, 04/28/23, paid locator billy,none
604, expense,100, 04/21/23, paid locator water,none
605, expense,100, 04/07/23, paid locator emmanuel,none
606, expense,100, 04/07/23, paid locator leon,none
607, deposit,500, 05/03/23, Expense Arcadia ,none
608, expense,92.78, 05/02/23, Gas Arcadia ,jpg
609, expense,138.75, 04/29/23, Hotel return MO ,jpeg
611, expense,625.53, 04/29/23, Tires tundra ,jpg
612, expense,197.88, 05/05/23, Hotel Arcadia ,jpg
613, expense,94.12, 05/05/23, Diesel ,jpg
614, expense,77.27, 05/08/23, Diesel ,jpg
615, expense,36.36, 05/05/23, Def ,jpg
616, expense,194.96, 05/08/23, Hose and hydraulic oil Vermeer machines ,jpg
617, expense,26.38, 05/08/23, Tool ,jpg
618, expense,58.3, 05/10/23, Bolt Vermeer 20x22,jpg
619, expense,6.98, 05/09/23, Spark plug trailer 20x23,jpg
620, expense,284.87, 05/09/23, Tire trailer 20x22 ,jpg
621, expense,123.6, 05/09/23, Tools to fix 20x22,jpg
622, expense,9.33, 05/10/23, Bolts and washers ,jpg
623, expense,96.74, 05/10/23, Sod seed grass seed ,jpg
624, expense,100, 05/11/23, Diesel ,jpg
625, expense,100, 05/08/23, Samuel JONES usic +1 (941) 526-4387,jpg
626, expense,62.11, 05/12/23, Diesel ,jpg
627, expense,280, 05/15/23, Bateria drill ,jpg
628, expense,275.81, 05/15/23, Beacon Meg 9 send to repair ,jpg
629, expense,74, 05/15/23, Diesel ,jpg
630, expense,200, 05/12/23, Drill Cardosa crossing labor ,jpg
632, expense,70.93, 05/17/23, Shovel Jonny crew ,jpg
633, deposit,2000, 05/17/23, From chase,none
634, expense,91.83, 05/19/23, Diesel ,jpg
635, expense,100, 05/15/23, Samuel JONES locator ,jpg
636, expense,75.63, 05/18/23, Jonny tools ,jpg
637, expense,68.81, 05/17/23, Diesel ,jpg
638, expense,80.88, 05/24/23, Diesel ,jpg
640, expense,100, 05/22/23, Samuel JONES locator usic ,jpg
641, deposit,3000, 05/26/23, Expenses ,none
642, expense,405.48, 05/24/23, Aerial St. Louis ,jpg
643, expense,2000, 05/26/23, Dan ,jpg
644, expense,226.46, 05/26/23, Hitch Enerio ,jpg
646, expense,154.06, 05/26/23, Hose tassio ,jpg
647, expense,30.28, 05/27/23, Replace mail box ,jpg
648, expense,30, 05/27/23, Diesel Isuzu ,jpeg
649, expense,22.64, 05/30/23, Grass St. Louis ,jpeg
650, expense,532.66, 05/29/23, Isuzu and tools ,jpg
652, expense,61.57, 05/30/23, Gas tundra St. Louis ,jpg
653, expense,275.94, 05/30/23, Sod seed straw and tools ,jpg
654, expense,95.77, 06/02/23, Diesel ,jpg
655, expense,40.81, 06/02/23, Coupler fix sewer ,jpg
656, expense,47, 06/01/23, Hose jt 25 ,jpg
658, expense,83.05, 06/06/23, Diesel ,jpg
659, deposit,1000, 06/06/23, Chase bank ,none
660, expense,70, 06/07/23, Diesel ,jpg
661, expense,22.72, 06/06/23, Gas vaccum tank Arcadia ,jpg
662, expense,50.04, 06/06/23, Bring vaccum down from Leesburg to Arcádia ,jpg
663, expense,81.78, 06/08/23, Diesel to Arcádia ,jpg
664, expense, 80.00, 06/13/23, Diésel ,jpg,
665, expense, 42.78, 06/13/23, DEF ,jpg,
666, expense, 100.00, 06/15/23, Diésel ,jpg,
667, deposit, 1000, 06/21/23, Chase,
668, deposit, 1100, 06/13/23, B. America ,
669, expense, 100.00, 06/20/23, Diesel ,jpg,
671, expense, 246.00, 06/20/23, 2 Sign Arcadia road work ,jpg,
673, expense, 177.38, 06/22/23, Change tire Ram 5500 ,jpg,
674, expense, 70.00, 06/22/23, Diesel ,jpg,
675, expense, 141.31, 06/22/23, Oil change dodge 5500,jpg,
676, expense, 1100, 06/13/23, storage payment,none,
677, expense, 100.00, 06/22/23, Ram 5500 Jonny crew ,jpg,
678, expense, 374.97, 06/22/23, Change oil and fuel filter 350 ,jpg,
679, expense, 100.00, 06/23/23, Samuel JONES locator +1 (941) 526-4387,none,
680, deposit, 1000, 06/23/23, Chase,
681, expense, 18.34, 06/23/23, DEF,jpg,
682, expense, 89.24, 06/28/23, Diesel ,jpg,
683, expense, 93.38, 06/28/23, Diesel ,jpg,
684, expense, 79.14, 06/28/23, Def oil ,jpg,
685, expense, 64.40, 06/29/23, Battery locator ,jpg,
686, expense, 18.34, 06/23/23, Coolant ,jpg,
687, expense, 100.00, 06/30/23, Locator Samuel ,none,
688, expense, 74.93, 06/30/23, Diesel ,jpg,
689, deposit, 1000, 07/01/23, Zele Chase ,
690, expense, 157.00, 07/06/23, Hotel Clearmont ,png,
691, expense, 100.00, 07/05/23, Diésel ,jpg,
692, expense, 183.31, 07/01/23, Oil change,jpg,
693, expense, 200.34, 07/07/23, Hotel clearmont ,jpg,
694, expense, 100.00, 07/03/23, Ditch Whitch mechanic ,png,
695, expense, 38.42, 07/07/23, Ice and water crew ,jpg,
696, expense, 89.30, 07/10/23, Diésel ,jpg,
